Date,Amount,GST Rate,GST Amount
2025-03-07,2.50,0.09,0.2250
2025-03-07,7.92,0.09,0.7128
2025-03-07,1.92,0.09,0.1728
2025-03-07,2.30,0.09,0.2070
2025-03-06,1.95,0.09,0.1755
2025-03-06,11.00,0.09,0.9900
2025-03-06,15.80,0.09,1.4220
2025-03-06,2.00,0.09,0.1800
2025-03-06,6.00,0.09,0.5400
2025-03-06,50.00,0.09,4.5000
2025-03-06,42.60,0.09,3.8340
2025-03-06,19.60,0.09,1.7640
2025-03-06,102.60,0.09,9.2340
2025-03-05,29.98,0.09,2.6982
2025-03-05,24.00,0.09,2.1600
2025-03-05,2.55,0.09,0.2295
2025-03-05,3.55,0.09,0.3195
2025-03-05,5.55,0.09,0.4995
2025-03-05,3.00,0.09,0.2700
2025-03-05,137.00,0.09,12.3300
2025-03-04,7.00,0.09,0.6300
2025-03-04,10.00,0.09,0.9000
2025-03-03,1.97,0.09,0.1773
2025-03-03,2.50,0.09,0.2250
2025-03-03,1.40,0.09,0.1260
2025-03-03,3.30,0.09,0.2970
2025-03-03,7.12,0.09,0.6408
2025-03-03,5.80,0.09,0.5220
2025-03-02,2.50,0.09,0.2250
2025-03-01,1.50,0.09,0.1350
2025-03-01,8.34,0.09,0.7506
2025-03-01,2.70,0.09,0.2430
2025-03-01,8.90,0.09,0.8010
2025-03-01,1.44,0.09,0.1296
2025-03-01,5.76,0.09,0.5184
2025-03-01,200.00,0.09,18.0000
2025-02-28,1.50,0.09,0.1350
2025-02-28,5.60,0.09,0.5040
2025-02-28,3.20,0.09,0.2880
2025-02-28,29.13,0.09,2.6217
2025-02-28,4.50,0.09,0.4050
2025-02-28,5.30,0.09,0.4770
2025-02-27,14.09,0.09,1.2681
2025-02-27,15.00,0.09,1.3500
2025-02-27,650.00,0.09,58.5000
2025-02-27,4.80,0.09,0.4320
2025-02-26,16.00,0.09,1.4400
2025-02-26,35.00,0.09,3.1500
2025-02-26,5.00,0.09,0.4500
2025-02-26,1.30,0.09,0.1170
2025-02-25,7.00,0.09,0.6300
2025-02-24,9.00,0.09,0.8100
2025-02-24,6.30,0.09,0.5670
2025-02-24,1.30,0.09,0.1170
2025-02-24,4.00,0.09,0.3600
2025-02-23,1.50,0.09,0.1350
2025-02-23,6.00,0.09,0.5400
2025-02-23,6.17,0.09,0.5553
2025-02-23,3.00,0.09,0.2700
2025-02-23,2.80,0.09,0.2520
2025-02-22,13.00,0.09,1.1700
2025-02-22,49.00,0.09,4.4100
2025-02-22,13.00,0.09,1.1700
2025-02-22,10.00,0.09,0.9000
2025-02-21,1.40,0.09,0.1260
2025-02-21,1.50,0.09,0.1350
2025-02-21,6.30,0.09,0.5670
2025-02-21,1.30,0.09,0.1170
2025-02-21,10.00,0.09,0.9000
2025-02-21,7.00,0.09,0.6300
2025-02-20,5.97,0.09,0.5373
2025-02-20,5.80,0.09,0.5220
2025-02-20,6.00,0.09,0.5400
2025-02-19,15.20,0.09,1.3680
2025-02-19,100.00,0.09,9.0000
2025-02-19,1.30,0.09,0.1170
2025-02-19,4.40,0.09,0.3960
2025-02-18,11.57,0.09,1.0413
2025-02-18,1.50,0.09,0.1350
2025-02-18,13.50,0.09,1.2150
2025-02-18,5.95,0.09,0.5355
2025-02-18,1.30,0.09,0.1170
2025-02-18,6.00,0.09,0.5400
2025-02-18,18.50,0.09,1.6650
2025-02-17,1.40,0.09,0.1260
2025-02-17,2.50,0.09,0.2250
2025-02-17,6.30,0.09,0.5670
2025-02-17,1.20,0.09,0.1080
2025-02-17,5.30,0.09,0.4770
2025-02-17,1.30,0.09,0.1170
2025-02-16,1.50,0.09,0.1350
2025-02-16,2.60,0.09,0.2340
2025-02-16,1.00,0.09,0.0900
2025-02-16,1.80,0.09,0.1620
2025-02-15,5.20,0.09,0.4680
2025-02-15,4.00,0.09,0.3600
2025-02-15,1.50,0.09,0.1350
2025-02-15,11.10,0.09,0.9990
2025-02-15,2.70,0.09,0.2430
2025-02-14,15.69,0.09,1.4121
2025-02-14,13.00,0.09,1.1700
2025-02-14,120.00,0.09,10.8000
2025-02-14,2.00,0.09,0.1800
2025-02-14,2.30,0.09,0.2070
2025-02-14,8.00,0.09,0.7200
2025-02-14,7.10,0.09,0.6390
2025-02-14,1.70,0.09,0.1530
2025-02-14,5.30,0.09,0.4770
2025-02-13,5.80,0.09,0.5220
2025-02-13,3.00,0.09,0.2700
2025-02-12,10.40,0.09,0.9360
2025-02-11,6.00,0.09,0.5400
2025-02-10,3.30,0.09,0.2970
2025-02-10,1.40,0.09,0.1260
2025-02-10,1.60,0.09,0.1440
2025-02-10,6.90,0.09,0.6210
2025-02-10,5.00,0.09,0.4500
2025-02-10,21.95,0.09,1.9755
2025-02-09,8.90,0.09,0.8010
2025-02-09,2.00,0.09,0.1800
2025-02-09,16.45,0.09,1.4805
2025-02-09,5.00,0.09,0.4500
2025-02-09,7.00,0.09,0.6300
2025-02-09,1.70,0.09,0.1530
2025-02-09,5.90,0.09,0.5310
2025-02-09,25.46,0.09,2.2914
2025-02-08,20.00,0.09,1.8000
2025-02-08,4.40,0.09,0.3960
2025-02-08,9.35,0.09,0.8415
2025-02-08,3.85,0.09,0.3465
2025-02-07,8.90,0.09,0.8010
2025-02-07,12.50,0.09,1.1250
2025-02-07,1.70,0.09,0.1530
2025-02-07,17.35,0.09,1.5615
2025-02-07,49.05,0.09,4.4145
2025-02-06,42.90,0.09,3.8610
2025-02-06,1.00,0.09,0.0900
2025-02-06,10.00,0.09,0.9000
2025-02-06,10.00,0.09,0.9000
2025-02-06,5.30,0.09,0.4770
2025-02-06,102.60,0.09,9.2340
2025-02-05,8.55,0.09,0.7695
2025-02-05,4.90,0.09,0.4410
2025-02-04,4.51,0.09,0.4059
2025-02-04,2.50,0.09,0.2250
2025-02-04,10.00,0.09,0.9000
2025-02-04,9.00,0.09,0.8100
2025-02-04,17.49,0.09,1.5741
2025-02-03,1.70,0.09,0.1530
2025-02-03,2.00,0.09,0.1800
2025-02-03,7.30,0.09,0.6570
2025-02-02,28.00,0.09,2.5200
2025-02-02,4.90,0.09,0.4410
2025-02-02,11.10,0.09,0.9990
2025-02-02,1.50,0.09,0.1350
2025-02-02,1.70,0.09,0.1530
2025-02-02,6.00,0.09,0.5400
2025-02-02,14.40,0.09,1.2960
2025-02-01,12.50,0.09,1.1250
2025-02-01,14.00,0.09,1.2600
2025-02-01,16.00,0.09,1.4400
2025-02-01,1.60,0.09,0.1440
2025-02-01,7.00,0.09,0.6300
2025-01-31,6.46,0.09,0.5814
2025-01-31,3.00,0.09,0.2700
2025-01-31,7.00,0.09,0.6300
2025-01-30,1.70,0.09,0.1530
2025-01-30,12.98,0.09,1.1682
2025-01-30,500.00,0.09,45.0000
2025-01-29,46.00,0.09,4.1400
2025-01-29,14.40,0.09,1.2960
2025-01-29,4.95,0.09,0.4455
2025-01-29,4.11,0.09,0.3699
2025-01-28,8.40,0.09,0.7560
2025-01-28,5.40,0.09,0.4860
2025-01-28,1.50,0.09,0.1350
2025-01-28,2.10,0.09,0.1890
2025-01-27,12.90,0.09,1.1610
2025-01-27,5.80,0.09,0.5220
2025-01-26,5.50,0.09,0.4950
2025-01-26,10.30,0.09,0.9270
2025-01-26,5.93,0.09,0.5337
2025-01-26,11.40,0.09,1.0260
2025-01-25,5.90,0.09,0.5310
2025-01-25,17.93,0.09,1.6137
2025-01-25,17.62,0.09,1.5858
2025-01-25,550.00,0.09,49.5000
2025-01-25,5.00,0.09,0.4500
2025-01-25,11.25,0.09,1.0125
