expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
26/3/2025,Travel,Main,169.00,SGD,169.00,SGD,,,,Cebu Pac
26/3/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
25/3/2025,Food,Main,7.92,SGD,7.92,SGD,,,,
25/3/2025,Food,Main,1.80,SGD,1.80,SGD,,,,
25/3/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
23/3/2025,Leisure,Main,14.00,SGD,14.00,SGD,,,,
23/3/2025,Food,Main,13.50,SGD,13.50,SGD,,,,
23/3/2025,Groceries,Main,4.95,SGD,4.95,SGD,,,,
23/3/2025,Groceries,Main,1.70,SGD,1.70,SGD,,,,
23/3/2025,Food,Main,3.10,SGD,3.10,SGD,,,,
22/3/2025,Food,Main,3.50,SGD,3.50,SGD,,,,
22/3/2025,Leisure,Main,6.91,SGD,6.91,SGD,,,,
22/3/2025,Food,Main,1.92,SGD,1.92,SGD,,,,
22/3/2025,Food,Main,7.80,SGD,7.80,SGD,,,,
21/3/2025,Gifts,Main,100.00,SGD,100.00,SGD,,,,Janbert Gift
21/3/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
21/3/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
20/3/2025,Food,Main,6.12,SGD,6.12,SGD,,,,
20/3/2025,Food,Main,6.60,SGD,6.60,SGD,,,,
20/3/2025,Leisure,Main,24.75,SGD,24.75,SGD,,,,
19/3/2025,Groceries,Main,4.55,SGD,4.55,SGD,,,,
19/3/2025,Food,Main,0.90,SGD,0.90,SGD,,,,
19/3/2025,Food,Main,5.76,SGD,5.76,SGD,,,,
19/3/2025,Food,Main,6.60,SGD,6.60,SGD,,,,
18/3/2025,Food,Main,8.90,SGD,8.90,SGD,,,,
18/3/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
17/3/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
17/3/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
16/3/2025,Food,Main,1.89,SGD,1.89,SGD,,,,
16/3/2025,Food,Main,6.82,SGD,6.82,SGD,,,,
16/3/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
16/3/2025,Groceries,Main,7.10,SGD,7.10,SGD,,,,
16/3/2025,Gifts,Main,200.00,SGD,200.00,SGD,,,,Stephen Gift
15/3/2025,Food,Main,4.95,SGD,4.95,SGD,,,,
14/3/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
14/3/2025,Food,Main,7.60,SGD,7.60,SGD,,,,
14/3/2025,Food,Main,3.50,SGD,3.50,SGD,,,,
14/3/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
14/3/2025,Food,Main,9.30,SGD,9.30,SGD,,,,
13/3/2025,Health,Main,58.34,SGD,58.34,SGD,,,,OFW insurance
13/3/2025,Groceries,Main,3.00,SGD,3.00,SGD,,,,
13/3/2025,Leisure,Main,5.00,SGD,5.00,SGD,,,,book
13/3/2025,Food,Main,4.30,SGD,4.30,SGD,,,,
12/3/2025,Groceries,Main,4.20,SGD,4.20,SGD,,,,
12/3/2025,Food,Main,5.67,SGD,5.67,SGD,,,,
12/3/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
