expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
30/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
30/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
30/7/2024,Food,Main,7.40,SGD,7.40,SGD,,,,
29/7/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
29/7/2024,Food,Main,6.84,SGD,6.84,SGD,,,,
29/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
29/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
29/7/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
29/7/2024,Home,Main,550.00,SGD,550.00,SGD,,,,
29/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
28/7/2024,Transportation,Main,4.14,SGD,4.14,SGD,,,,
28/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
28/7/2024,Leisure,Main,3.30,SGD,3.30,SGD,,,,
28/7/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
28/7/2024,Food,Main,1.80,SGD,1.80,SGD,,,,
28/7/2024,Food,Main,9.00,SGD,9.00,SGD,,,,
28/7/2024,Food,Main,4.60,SGD,4.60,SGD,,,,
28/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
28/7/2024,Food,Main,2.20,SGD,2.20,SGD,,,,
27/7/2024,Transportation,Main,3.69,SGD,3.69,SGD,,,,
27/7/2024,Groceries,Main,4.80,SGD,4.80,SGD,,,,
27/7/2024,Food,Main,1.44,SGD,1.44,SGD,,,,
27/7/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
27/7/2024,Leisure,Main,25.90,SGD,25.90,SGD,,,,Cat 6a cable
27/7/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
27/7/2024,Food,Main,43.00,SGD,43.00,SGD,,,,
27/7/2024,Transportation,Main,3.81,SGD,3.81,SGD,,,,
27/7/2024,Leisure,Main,13.00,SGD,13.00,SGD,,,,
27/7/2024,Food,Main,1.62,SGD,1.62,SGD,,,,
27/7/2024,Food,Main,3.80,SGD,3.80,SGD,,,,
26/7/2024,Transportation,Main,6.76,SGD,6.76,SGD,,,,
26/7/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
26/7/2024,Food,Main,9.50,SGD,9.50,SGD,,,,
26/7/2024,Food,Main,11.31,SGD,11.31,SGD,,,,
26/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
26/7/2024,Food,Main,3.80,SGD,3.80,SGD,,,,
26/7/2024,Food,Main,2.20,SGD,2.20,SGD,,,,
25/7/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
25/7/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
25/7/2024,Food,Main,1.00,SGD,1.00,SGD,,,,
25/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
25/7/2024,Food,Main,5.00,SGD,5.00,SGD,,,,
25/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
24/7/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
24/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
24/7/2024,Food,Main,4.80,SGD,4.80,SGD,,,,
24/7/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
24/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
24/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
23/7/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
23/7/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
23/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
23/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
23/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
23/7/2024,Food,Main,7.60,SGD,7.60,SGD,,,,
22/7/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
22/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
22/7/2024,Food,Main,5.60,SGD,5.60,SGD,,,,
22/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
22/7/2024,Food,Main,4.80,SGD,4.80,SGD,,,,
21/7/2024,Transportation,Main,5.85,SGD,5.85,SGD,,,,
21/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
21/7/2024,Food,Main,9.40,SGD,9.40,SGD,,,,
21/7/2024,Food,Main,1.62,SGD,1.62,SGD,,,,
21/7/2024,Food,Main,7.80,SGD,7.80,SGD,,,,
20/7/2024,Leisure,Main,11.98,SGD,11.98,SGD,,,,
20/7/2024,Groceries,Main,8.05,SGD,8.05,SGD,,,,
20/7/2024,Transportation,Main,3.23,SGD,3.23,SGD,,,,
20/7/2024,Food,Main,14.67,SGD,14.67,SGD,,,,
20/7/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
20/7/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
19/7/2024,Transportation,Main,4.93,SGD,4.93,SGD,,,,
19/7/2024,Groceries,Main,1.40,SGD,1.40,SGD,,,,
19/7/2024,Food,Main,1.85,SGD,1.85,SGD,,,,
19/7/2024,Food,Main,5.94,SGD,5.94,SGD,,,,
19/7/2024,Food,Main,6.00,SGD,6.00,SGD,,,,
19/7/2024,Food,Main,10.50,SGD,10.50,SGD,,,,
18/7/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
18/7/2024,Food,Main,4.60,SGD,4.60,SGD,,,,
18/7/2024,Food,Main,4.80,SGD,4.80,SGD,,,,
18/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
18/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
18/7/2024,Food,Main,7.60,SGD,7.60,SGD,,,,
17/7/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
17/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
17/7/2024,Food,Main,2.60,SGD,2.60,SGD,,,,
17/7/2024,Food,Main,4.20,SGD,4.20,SGD,,,,
17/7/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
17/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
16/7/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
16/7/2024,Groceries,Main,12.55,SGD,12.55,SGD,,,,
16/7/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
16/7/2024,Food,Main,2.80,SGD,2.80,SGD,,,,
16/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
16/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
16/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
16/7/2024,Food,Main,5.60,SGD,5.60,SGD,,,,
15/7/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
15/7/2024,Leisure,Main,4.50,SGD,4.50,SGD,,,,
15/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
15/7/2024,Food,Main,5.60,SGD,5.60,SGD,,,,
15/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
15/7/2024,Food,Main,3.90,SGD,3.90,SGD,,,,
15/7/2024,Food,Main,3.80,SGD,3.80,SGD,,,,
14/7/2024,Food,Main,5.00,SGD,5.00,SGD,,,,
14/7/2024,Food,Main,2.00,SGD,2.00,SGD,,,,
14/7/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
14/7/2024,Food,Main,9.50,SGD,9.50,SGD,,,,
14/7/2024,Transportation,Main,3.05,SGD,3.05,SGD,,,,
14/7/2024,Leisure,Main,25.46,SGD,25.46,SGD,,,,
13/7/2024,Transportation,Main,3.05,SGD,3.05,SGD,,,,
13/7/2024,Food,Main,12.00,SGD,12.00,SGD,,,,
13/7/2024,Food,Main,6.58,SGD,6.58,SGD,,,,
13/7/2024,Food,Main,2.60,SGD,2.60,SGD,,,,
13/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
12/7/2024,Health,Main,1.90,SGD,1.90,SGD,,,,
12/7/2024,Food,Main,3.25,SGD,3.25,SGD,,,,
12/7/2024,Food,Main,15.37,SGD,15.37,SGD,,,,
12/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
12/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
12/7/2024,Food,Main,11.90,SGD,11.90,SGD,,,,
11/7/2024,Transportation,Main,3.98,SGD,3.98,SGD,,,,
11/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
11/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
11/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
11/7/2024,Food,Main,6.60,SGD,6.60,SGD,,,,
11/7/2024,Food,Main,3.10,SGD,3.10,SGD,,,,
10/7/2024,Transportation,Main,7.38,SGD,7.38,SGD,,,,
10/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
10/7/2024,Food,Main,10.00,SGD,10.00,SGD,,,,
10/7/2024,Travel,Main,132.00,SGD,132.00,SGD,,,,
10/7/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
9/7/2024,Food,Main,20.40,SGD,20.40,SGD,,,,
9/7/2024,Food,Main,1.40,SGD,1.40,SGD,,,,
9/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
9/7/2024,Food,Main,5.70,SGD,5.70,SGD,,,,
8/7/2024,Transportation,Main,3.90,SGD,3.90,SGD,,,,
8/7/2024,Food,Main,6.30,SGD,6.30,SGD,,,,
8/7/2024,Tax,Main,23.84,SGD,23.84,SGD,,,,
8/7/2024,Leisure,Main,2.98,SGD,2.98,SGD,,,,
8/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
8/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
8/7/2024,Food,Main,5.60,SGD,5.60,SGD,,,,
8/7/2024,Family,Main,39.00,SGD,39.00,SGD,,,,
7/7/2024,Transportation,Main,6.31,SGD,6.31,SGD,,,,
7/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
7/7/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
7/7/2024,Leisure,Main,2.80,SGD,2.80,SGD,,,,
7/7/2024,Travel,Main,237.45,SGD,237.45,SGD,,,,
7/7/2024,Food,Main,17.00,SGD,17.00,SGD,,,,
7/7/2024,Food,Main,1.80,SGD,1.80,SGD,,,,
7/7/2024,Food,Main,11.00,SGD,11.00,SGD,,,,
7/7/2024,Food,Main,0.85,SGD,0.85,SGD,,,,
7/7/2024,Food,Main,2.80,SGD,2.80,SGD,,,,
6/7/2024,Leisure,Main,2.98,SGD,2.98,SGD,,,,
6/7/2024,Transportation,Main,7.64,SGD,7.64,SGD,,,,
6/7/2024,Food,Main,17.50,SGD,17.50,SGD,,,,
6/7/2024,Transportation,Main,20.56,SGD,20.56,SGD,,,,
6/7/2024,Food,Main,14.86,SGD,14.86,SGD,,,,
6/7/2024,Food,Main,2.70,SGD,2.70,SGD,,,,
6/7/2024,Food,Main,2.20,SGD,2.20,SGD,,,,
6/7/2024,Leisure,Main,102.60,SGD,102.60,SGD,,,,
5/7/2024,Transportation,Main,6.81,SGD,6.81,SGD,,,,
5/7/2024,Food,Main,7.02,SGD,7.02,SGD,,,,
5/7/2024,Leisure,Main,45.00,SGD,45.00,SGD,,,,
5/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
5/7/2024,Food,Main,3.60,SGD,3.60,SGD,,,,
5/7/2024,Food,Main,3.80,SGD,3.80,SGD,,,,
4/7/2024,Transportation,Main,7.18,SGD,7.18,SGD,,,,
4/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
4/7/2024,Food,Main,6.54,SGD,6.54,SGD,,,,
4/7/2024,Food,Main,6.60,SGD,6.60,SGD,,,,
4/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
4/7/2024,Food,Main,3.50,SGD,3.50,SGD,,,,
3/7/2024,Transportation,Main,4.85,SGD,4.85,SGD,,,,
3/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
3/7/2024,Food,Main,6.30,SGD,6.30,SGD,,,,
3/7/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
2/7/2024,Transportation,Main,3.71,SGD,3.71,SGD,,,,
2/7/2024,Food,Main,7.20,SGD,7.20,SGD,,,,
2/7/2024,Food,Main,3.00,SGD,3.00,SGD,,,,
2/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
2/7/2024,Food,Main,6.60,SGD,6.60,SGD,,,,
1/7/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
1/7/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
1/7/2024,Food,Main,6.85,SGD,6.85,SGD,,,,
1/7/2024,Food,Main,6.60,SGD,6.60,SGD,,,,
1/7/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
1/7/2024,Food,Main,3.60,SGD,3.60,SGD,,,,
30/6/2024,Transportation,Main,4.67,SGD,4.67,SGD,,,,
30/6/2024,Food,Main,15.70,SGD,15.70,SGD,,,,
30/6/2024,Food,Main,3.00,SGD,3.00,SGD,,,,
30/6/2024,Food,Main,2.00,SGD,2.00,SGD,,,,
30/6/2024,Food,Main,4.30,SGD,4.30,SGD,,,,
29/6/2024,Transportation,Main,2.98,SGD,2.98,SGD,,,,
29/6/2024,Leisure,Main,26.32,SGD,26.32,SGD,,,,
29/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
29/6/2024,Food,Main,10.40,SGD,10.40,SGD,,,,
29/6/2024,Food,Main,4.00,SGD,4.00,SGD,,,,
29/6/2024,Food,Main,2.50,SGD,2.50,SGD,,,,
29/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
28/6/2024,Food,Main,7.85,SGD,7.85,SGD,,,,
28/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
28/6/2024,Food,Main,7.80,SGD,7.80,SGD,,,,
28/6/2024,Food,Main,2.60,SGD,2.60,SGD,,,,
27/6/2024,Home,Main,550.00,SGD,550.00,SGD,,,,
27/6/2024,Leisure,Main,18.70,SGD,18.70,SGD,,,,
27/6/2024,Leisure,Main,32.29,SGD,32.29,SGD,,,,
27/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
27/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
27/6/2024,Food,Main,4.30,SGD,4.30,SGD,,,,
27/6/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
26/6/2024,Transportation,Main,4.70,SGD,4.70,SGD,,,,
26/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
26/6/2024,Food,Main,5.70,SGD,5.70,SGD,,,,
26/6/2024,Food,Main,3.40,SGD,3.40,SGD,,,,
26/6/2024,Food,Main,5.60,SGD,5.60,SGD,,,,
25/6/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
25/6/2024,Food,Main,3.20,SGD,3.20,SGD,,,,
25/6/2024,Food,Main,5.60,SGD,5.60,SGD,,,,
25/6/2024,Food,Main,6.84,SGD,6.84,SGD,,,,
24/6/2024,Transportation,Main,6.09,SGD,6.09,SGD,,,,
24/6/2024,Food,Main,7.02,SGD,7.02,SGD,,,,
24/6/2024,Food,Main,3.40,SGD,3.40,SGD,,,,
24/6/2024,Food,Main,6.50,SGD,6.50,SGD,,,,
23/6/2024,Transportation,Main,4.54,SGD,4.54,SGD,,,,
23/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
23/6/2024,Food,Main,18.50,SGD,18.50,SGD,,,,
23/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
22/6/2024,Transportation,Main,6.29,SGD,6.29,SGD,,,,
22/6/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
22/6/2024,Food,Main,5.80,SGD,5.80,SGD,,,,
22/6/2024,Leisure,Main,32.29,SGD,32.29,SGD,,,,
22/6/2024,Food,Main,1.00,SGD,1.00,SGD,,,,
22/6/2024,Food,Main,3.00,SGD,3.00,SGD,,,,
22/6/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
22/6/2024,Food,Main,1.80,SGD,1.80,SGD,,,,
22/6/2024,Food,Main,23.00,SGD,23.00,SGD,,,,
22/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
22/6/2024,Food,Main,6.00,SGD,6.00,SGD,,,,
21/6/2024,Transportation,Main,4.84,SGD,4.84,SGD,,,,
21/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
21/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
21/6/2024,Food,Main,9.30,SGD,9.30,SGD,,,,
21/6/2024,Food,Main,6.60,SGD,6.60,SGD,,,,
20/6/2024,Transportation,Main,4.84,SGD,4.84,SGD,,,,
20/6/2024,Food,Main,14.00,SGD,14.00,SGD,,,,
20/6/2024,Food,Main,5.90,SGD,5.90,SGD,,,,
20/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
20/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
20/6/2024,Food,Main,1.10,SGD,1.10,SGD,,,,
19/6/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
19/6/2024,Food,Main,5.70,SGD,5.70,SGD,,,,
19/6/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
19/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
18/6/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
18/6/2024,Leisure,Main,4.70,SGD,4.70,SGD,,,,
18/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
18/6/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
18/6/2024,Food,Main,6.00,SGD,6.00,SGD,,,,
18/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
18/6/2024,Leisure,Main,2.20,SGD,2.20,SGD,,,,
18/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
17/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
17/6/2024,Transportation,Main,4.05,SGD,4.05,SGD,,,,
17/6/2024,Groceries,Main,9.45,SGD,9.45,SGD,,,,
17/6/2024,Leisure,Main,9.90,SGD,9.90,SGD,,,,
17/6/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
17/6/2024,Food,Main,5.50,SGD,5.50,SGD,,,,
17/6/2024,Food,Main,10.30,SGD,10.30,SGD,,,,
17/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
16/6/2024,Transportation,Main,3.05,SGD,3.05,SGD,,,,
16/6/2024,Gifts,Main,35.00,SGD,35.00,SGD,,,,
16/6/2024,Food,Main,7.02,SGD,7.02,SGD,,,,
16/6/2024,Groceries,Main,1.70,SGD,1.70,SGD,,,,
16/6/2024,Groceries,Main,8.66,SGD,8.66,SGD,,,,
16/6/2024,Food,Main,10.10,SGD,10.10,SGD,,,,
15/6/2024,Transportation,Main,6.38,SGD,6.38,SGD,,,,
15/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
15/6/2024,Food,Main,28.89,SGD,28.89,SGD,,,,
15/6/2024,Food,Main,3.80,SGD,3.80,SGD,,,,
15/6/2024,Leisure,Main,10.60,SGD,10.60,SGD,,,,
14/6/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
14/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
14/6/2024,Food,Main,7.50,SGD,7.50,SGD,,,,
14/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
14/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
14/6/2024,Food,Main,8.30,SGD,8.30,SGD,,,,
13/6/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
13/6/2024,Leisure,Main,25.46,SGD,25.46,SGD,,,,
13/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
13/6/2024,Food,Main,3.00,SGD,3.00,SGD,,,,
13/6/2024,Food,Main,5.80,SGD,5.80,SGD,,,,
13/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
13/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
12/6/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
12/6/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
12/6/2024,Food,Main,5.00,SGD,5.00,SGD,,,,
12/6/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
12/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
12/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
11/6/2024,Transportation,Main,3.79,SGD,3.79,SGD,,,,
11/6/2024,Food,Main,7.80,SGD,7.80,SGD,,,,
11/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
11/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
11/6/2024,Food,Main,6.80,SGD,6.80,SGD,,,,
10/6/2024,Transportation,Main,5.84,SGD,5.84,SGD,,,,
10/6/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
10/6/2024,Food,Main,7.83,SGD,7.83,SGD,,,,
10/6/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
10/6/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
9/6/2024,Transportation,Main,3.12,SGD,3.12,SGD,,,,
9/6/2024,Food,Main,1.44,SGD,1.44,SGD,,,,
9/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
9/6/2024,Food,Main,7.00,SGD,7.00,SGD,,,,
9/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
8/6/2024,Transportation,Main,4.65,SGD,4.65,SGD,,,,
8/6/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
8/6/2024,Food,Main,6.76,SGD,6.76,SGD,,,,
8/6/2024,Leisure,Main,8.33,SGD,8.33,SGD,,,,
8/6/2024,Food,Main,50.00,SGD,50.00,SGD,,,,
8/6/2024,Leisure,Main,19.24,SGD,19.24,SGD,,,,
7/6/2024,Transportation,Main,5.85,SGD,5.85,SGD,,,,
7/6/2024,Food,Main,3.20,SGD,3.20,SGD,,,,
7/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
7/6/2024,Food,Main,6.80,SGD,6.80,SGD,,,,
6/6/2024,Food,Main,2.00,SGD,2.00,SGD,,,,
6/6/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
6/6/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
6/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
6/6/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
6/6/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
5/6/2024,Leisure,Main,2.98,SGD,2.98,SGD,,,,
5/6/2024,Workout,Main,102.60,SGD,102.60,SGD,,,,
5/6/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
5/6/2024,Food,Main,2.70,SGD,2.70,SGD,,,,
5/6/2024,Food,Main,3.90,SGD,3.90,SGD,,,,
5/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
5/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
5/6/2024,Food,Main,5.80,SGD,5.80,SGD,,,,
4/6/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
4/6/2024,Food,Main,5.00,SGD,5.00,SGD,,,,
4/6/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
4/6/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
3/6/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
3/6/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
3/6/2024,Food,Main,3.90,SGD,3.90,SGD,,,,
3/6/2024,Food,Main,3.20,SGD,3.20,SGD,,,,
3/6/2024,Food,Main,5.80,SGD,5.80,SGD,,,,
2/6/2024,Transportation,Main,6.63,SGD,6.63,SGD,,,,
2/6/2024,Food,Main,11.45,SGD,11.45,SGD,,,,
2/6/2024,Food,Main,1.90,SGD,1.90,SGD,,,,
2/6/2024,Food,Main,24.50,SGD,24.50,SGD,,,,
1/6/2024,Transportation,Main,4.31,SGD,4.31,SGD,,,,
1/6/2024,Groceries,Main,18.40,SGD,18.40,SGD,,,,
1/6/2024,Food,Main,8.37,SGD,8.37,SGD,,,,
1/6/2024,Leisure,Main,4.50,SGD,4.50,SGD,,,,
1/6/2024,Home,Main,26.00,SGD,26.00,SGD,,,,
1/6/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
1/6/2024,Leisure,Main,26.00,SGD,26.00,SGD,,,,
31/5/2024,Transportation,Main,3.71,SGD,3.71,SGD,,,,
31/5/2024,Food,Main,2.70,SGD,2.70,SGD,,,,
31/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
31/5/2024,Food,Main,6.30,SGD,6.30,SGD,,,,
31/5/2024,Food,Main,5.00,SGD,5.00,SGD,,,,
31/5/2024,Leisure,Main,18.70,SGD,18.70,SGD,,,,
30/5/2024,Leisure,Main,30.00,SGD,30.00,SGD,,,,
30/5/2024,Home,Main,500.00,SGD,500.00,SGD,,,,
30/5/2024,Groceries,Main,2.00,SGD,2.00,SGD,,,,
30/5/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
30/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
30/5/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
30/5/2024,Food,Main,6.80,SGD,6.80,SGD,,,,
29/5/2024,Transportation,Main,4.72,SGD,4.72,SGD,,,,
29/5/2024,Food,Main,5.70,SGD,5.70,SGD,,,,
29/5/2024,Groceries,Main,14.50,SGD,14.50,SGD,,,,
29/5/2024,Leisure,Main,33.00,SGD,33.00,SGD,,,,
29/5/2024,Leisure,Main,32.29,SGD,32.29,SGD,,,,
29/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
29/5/2024,Food,Main,6.80,SGD,6.80,SGD,,,,
29/5/2024,Leisure,Main,44.00,SGD,44.00,SGD,,,,
28/5/2024,Transportation,Main,3.76,SGD,3.76,SGD,,,,
28/5/2024,Food,Main,5.00,SGD,5.00,SGD,,,,
28/5/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
28/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
28/5/2024,Food,Main,6.00,SGD,6.00,SGD,,,,
27/5/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
27/5/2024,Food,Main,3.24,SGD,3.24,SGD,,,,
27/5/2024,Food,Main,7.38,SGD,7.38,SGD,,,,
27/5/2024,Food,Main,5.30,SGD,5.30,SGD,,,,
27/5/2024,Food,Main,1.30,SGD,1.30,SGD,,,,
27/5/2024,Food,Main,1.50,SGD,1.50,SGD,,,,
27/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
27/5/2024,Leisure,Main,2.20,SGD,2.20,SGD,,,,
26/5/2024,Transportation,Main,5.00,SGD,5.00,SGD,,,,
26/5/2024,Groceries,Main,1.80,SGD,1.80,SGD,,,,
26/5/2024,Food,Main,6.57,SGD,6.57,SGD,,,,
26/5/2024,Food,Main,2.00,SGD,2.00,SGD,,,,
26/5/2024,Food,Main,11.90,SGD,11.90,SGD,,,,
25/5/2024,Transportation,Main,4.65,SGD,4.65,SGD,,,,
25/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
25/5/2024,Food,Main,13.90,SGD,13.90,SGD,,,,
25/5/2024,Food,Main,1.00,SGD,1.00,SGD,,,,
24/5/2024,Transportation,Main,5.79,SGD,5.79,SGD,,,,
24/5/2024,Groceries,Main,5.00,SGD,5.00,SGD,,,,
24/5/2024,Food,Main,5.79,SGD,5.79,SGD,,,,
24/5/2024,Food,Main,6.89,SGD,6.89,SGD,,,,
24/5/2024,Food,Main,1.80,SGD,1.80,SGD,,,,
24/5/2024,Food,Main,1.70,SGD,1.70,SGD,,,,
24/5/2024,Food,Main,6.40,SGD,6.40,SGD,,,,
23/5/2024,Transportation,Main,5.89,SGD,5.89,SGD,,,,
23/5/2024,Food,Main,1.44,SGD,1.44,SGD,,,,
23/5/2024,Food,Main,7.40,SGD,7.40,SGD,,,,
23/5/2024,Food,Main,1.60,SGD,1.60,SGD,,,,
